"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Cameroon",120,4466.497,4549.464,4634.19,4720.787,4809.464,4900.528,4994.394,5091.573,5192.659,5298.296,5409.083,5525.481,5647.721,5775.774,5909.45,6048.706,6193.834,6345.309,6503.5,6668.834,6841.763,7022.124,7210.272,7407.756,7616.558,7837.926,8072.879,8320.635,8578.425,8842.355,9109.727,9379.109,9651.552,9929.831,10218.016,10518.855,10832.919,11158.6,11493.77,11835.344,12180.819,12529.904,12882.506,13236.573,13589.699,13940.337,14287.475,14631.908,14976.2,15324.051,15678.269,16039.737,16408.085,16783.366,17165.267,17553.589,17948.395,18350.022,18758.778,19175.028,19598.889
"Central African Republic",140,1326.653,1339.842,1353.471,1367.806,1383.081,1399.497,1417.223,1436.398,1457.125,1479.48,1503.509,1529.237,1556.665,1585.774,1616.524,1648.838,1682.88,1718.56,1755.258,1792.147,1828.709,1864.764,1900.723,1937.41,1975.985,2017.362,2061.466,2108.232,2158.547,2213.492,2273.63,2339.759,2411.176,2485.12,2557.808,2626.638,2690.25,2749.702,2807.768,2868.515,2934.777,3007.347,3084.958,3165.869,3247.456,3327.71,3406.451,3484.027,3559.604,3632.287,3701.607,3767.068,3829.238,3890.075,3952.281,4017.88,4087.534,4160.94,4237.961,4318.128,4401.051
"Chad",148,2429.431,2472.725,2519.184,2568.013,2618.633,2670.681,2724.017,2778.716,2835.038,2893.372,2954.088,3017.366,3083.054,3150.606,3219.259,3288.547,3357.972,3427.888,3499.681,3575.273,3655.905,3742.58,3834.574,3929.341,4023.3,4114.094,4201.073,4285.738,4370.56,4459.072,4554.089,4656.116,4765.16,4882.913,5011.242,5151.339,5304.49,5470.211,5645.708,5826.974,6011.224,6197.766,6387.856,6583.079,6785.842,6998.108,7219.081,7448.585,7689.836,7946.982,8222.327,8517.944,8831.199,9153.893,9474.792,9785.902,10084.087,10371.839,10653.762,10937.089,11227.208
"Congo",178,807.726,824.173,841.524,859.753,878.851,898.831,919.723,941.576,964.452,988.43,1013.581,1039.961,1067.597,1096.48,1126.584,1157.905,1190.402,1224.134,1259.319,1296.244,1335.088,1375.987,1418.826,1463.231,1508.675,1554.793,1601.41,1648.671,1696.922,1746.676,1798.285,1851.889,1907.33,1964.298,2022.343,2081.152,2140.687,2201.097,2262.489,2325.035,2388.902,2453.938,2520.196,2588.27,2658.948,2732.706,2810.118,2890.841,2973.329,3055.437,3135.773,3213.33,3288.923,3365.171,3445.765,3533.177,3628.561,3730.612,3836.339,3941.454,4042.899
"Democratic Republic of the Congo",180,12183.661,12441.551,12706.358,12982.427,13273.008,13580.254,13905.162,14247.631,14606.625,14980.445,15367.539,15767.376,16181.202,16612.368,17065.408,17543.319,18048.341,18579.012,19130.171,19694.467,20267.009,20845.085,21431.338,22032.669,22658.905,23316.776,24011.465,24740.389,25493.382,26255.837,27018.69,27781.042,28551.259,29341.286,30167.58,31044.153,31963.766,32927.332,33965.482,35117.79,36406.226,37856.212,39443.819,41081.774,42650.247,44067.369,45295.039,46369.335,47373.59,48429.878,49626.2,50989.424,52491.329,54098.245,55754.885,57420.522,59088.415,60772.175,62474.901,64204.304,65965.795
"Equatorial Guinea",226,225.536,230.057,232.759,234.513,235.994,237.677,239.826,242.51,245.617,248.906,252.115,255.1,257.941,260.991,264.745,269.429,275.472,282.446,288.703,292.015,290.907,284.913,274.893,262.377,249.569,238.24,228.534,220.448,215.415,215.116,220.582,232.676,250.712,272.217,293.701,312.634,328.119,340.825,351.694,362.325,373.887,386.536,399.843,413.73,428.005,442.527,457.321,472.486,488.039,504.001,520.38,537.195,554.429,571.999,589.794,607.739,625.777,643.936,662.327,681.115,700.401
"Gabon",266,469,469.553,470.676,472.159,473.845,475.629,477.456,479.323,481.271,483.379,485.732,488.394,491.385,494.663,498.162,501.88,505.765,509.973,514.963,521.339,529.526,539.728,551.811,565.441,580.101,595.417,611.293,627.846,645.16,663.387,682.641,702.923,724.185,746.424,769.635,793.81,818.863,844.775,871.675,899.739,929.044,959.631,991.289,1023.531,1055.707,1087.327,1118.215,1148.416,1177.936,1206.862,1235.274,1263.165,1290.532,1317.484,1344.171,1370.729,1397.192,1423.637,1450.31,1477.514,1505.463
"Sao Tome and Principe",678,60,59.147,58.46,58.114,58.213,58.776,59.747,60.991,62.31,63.465,64.251,64.564,64.474,64.246,64.265,64.803,65.962,67.637,69.646,71.709,73.63,75.334,76.896,78.435,80.137,82.124,84.449,87.038,89.74,92.34,94.688,96.721,98.502,100.162,101.899,103.852,106.067,108.493,111.05,113.62,116.117,118.512,120.835,123.137,125.488,127.935,130.499,133.152,135.838,138.475,141.01,143.43,145.761,148.038,150.311,152.622,154.97,157.361,159.852,162.515,165.397
"Northern Africa",912,52982.395,54199.779,55455.858,56763.338,58130.427,59560.875,61053.665,62603.309,64200.617,65834,67493.384,69174.393,70881.974,72632,74446.795,76342.131,78326.96,80396.326,82535.45,84722.319,86942.694,89192.559,91482.45,93830.472,96261.907,98795.948,101430.577,104161.788,107003.198,109971.051,113071.877,116311.755,119672.783,123107.204,126550.985,129955.461,133302.41,136595.537,139835.474,143030.73,146188.095,149306.399,152382.073,155418.474,158420.564,161394.729,164343.416,167274.522,170206.986,173164.494,176165.857,179216.206,182317.064,185478.298,188709.823,192016.749,195404.397,198866.572,202381.798,205920.327,209459.184
"Algeria",12,8752.997,8953.373,9140.99,9326.099,9515.99,9715.002,9924.347,10142.284,10364.614,10585.506,10799.997,11006.643,11209.845,11420.845,11654.905,11923.002,12229.853,12572.629,12945.462,13338.918,13746.185,14165.889,14600.659,15052.371,15524.137,16018.195,16533.323,17068.212,17624.756,18205.468,18811.199,19442.423,20095.648,20762.767,21433.07,22098.298,22753.511,23398.47,24035.237,24668.1,25299.182,25930.56,26557.969,27169.903,27751.086,28291.591,28786.855,29242.917,29673.694,30099.01,30533.827,30982.214,31441.848,31913.462,32396.048,32888.449,33391.954,33906.605,34428.028,34950.168,35468.208
