"Major area, region, country or area","Country code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Eastern Europe",923,220122.686,223398.933,226793.949,230234.464,233663.32,237039.502,240338.855,243553.349,246688.9,249761.713,252787.317,255768.897,258687.065,261495.462,264133.191,266561.335,268760.298,270755.618,272609.88,274411.606,276227.086,278077.68,279952.325,281845.326,283740.004,285623.781,287497.246,289366.753,291230.515,293086.094,294929.297,296744.179,298520.231,300263.111,301983,303677.257,305352.988,306976.969,308457.475,309674.697,310542.983,311033.746,311170.654,310987.424,310541.397,309882.275,309026.479,307984.663,306797.534,305512.333,304172.42,302792.01,301395.083,300044.68,298815.223,297758.038,296903.857,296238.461,295710.31,295241.028,294770.886
"Belarus",112,7745.003,7717.67,7710.974,7724.055,7755.53,7803.5,7865.511,7938.588,8019.355,8104.231,8190.006,8274.466,8356.938,8438.517,8521.413,8607.003,8695.396,8785.093,8874.033,8959.479,9039.503,9113.454,9181.971,9246.05,9307.285,9367.004,9425.089,9481.56,9538.046,9596.589,9658.5,9724.106,9792.555,9862.43,9931.687,9998.503,10062.44,10122.88,10177.584,10223.861,10259.7,10284.522,10298.479,10301.336,10293.127,10274.231,10244.354,10204.382,10157.409,10107.518,10057.81,10009.81,9963.383,9917.927,9872.11,9825.102,9776.823,9728.228,9680.69,9636.016,9595.421
"Bulgaria",100,7250.999,7282.56,7324.411,7375.32,7433.978,7499.009,7568.951,7642.268,7717.389,7792.759,7867.008,7939.132,8008.652,8075.674,8140.705,8204.095,8265.527,8324.589,8381.45,8436.396,8489.572,8541.136,8590.839,8637.941,8681.449,8720.706,8754.869,8784.175,8810.299,8835.614,8861.536,8888.449,8914.88,8938.068,8954.236,8960.417,8956.687,8943.245,8917.563,8876.627,8818.915,8743.034,8651.284,8550.495,8449.971,8356.624,8273.011,8198.008,8130.284,8067.041,8006.158,7947.761,7892.666,7840.117,7789.18,7739.115,7689.52,7640.283,7591.322,7542.674,7494.332
"Czech Republic",203,8876.26,8957.188,9036.508,9112.988,9185.663,9253.842,9317.119,9375.356,9428.668,9477.371,9521.854,9562.444,9599.284,9632.276,9661.235,9686.318,9707.426,9725.518,9743.1,9763.422,9788.863,9819.749,9855.516,9896.416,9942.472,9993.206,10049.465,10110.02,10169.747,10221.861,10261.606,10286.947,10299.49,10302.679,10301.798,10300.844,10300.475,10299.854,10299.711,10300.582,10302.718,10307.13,10313.662,10319.923,10322.561,10319.337,10310.016,10295.984,10278.707,10260.335,10242.89,10225.701,10209.5,10199.327,10201.665,10220.638,10258.796,10313.525,10377.359,10439.735,10492.96
"Hungary",348,9337.723,9478.369,9594.893,9689.536,9764.807,9823.485,9868.65,9903.65,9932.015,9957.295,9982.612,10010.165,10040.803,10073.845,10107.595,10140.871,10173.802,10207.293,10241.753,10277.698,10315.42,10354.275,10393.745,10434.264,10476.458,10520.246,10566.645,10614.041,10656.575,10686.489,10698.534,10690.574,10665.068,10627.145,10584.347,10542.504,10502.732,10464.389,10429.422,10399.695,10376.32,10360.831,10352.695,10348.284,10342.427,10331.403,10313.993,10291.342,10264.982,10237.422,10210.545,10184.663,10159.273,10134.513,10110.393,10086.936,10064.274,10042.572,10021.886,10002.247,9983.645
"Poland",616,24824.013,25383.633,25919.296,26417.754,26871.945,27280.997,27650.608,27992.667,28324.111,28665.037,29033.001,29436.954,29871.931,30316.767,30740.557,31121.621,31453.366,31744.824,32008.949,32265.42,32529.022,32803.069,33084.382,33373.543,33669.65,33971.911,34279.654,34593.234,34913.558,35241.738,35577.214,35921.102,36269.149,36608.819,36923.674,37201.804,37438.003,37634.787,37797.656,37935.815,38056.174,38160.714,38247.716,38316.289,38364.54,38391.778,38398.942,38389.116,38366.42,38336.047,38302.444,38266.81,38230.497,38198.151,38175.134,38165.04,38170.33,38189.762,38218.462,38249.228,38276.66
"Republic of Moldova",498,2341.003,2381.454,2432.109,2491.076,2556.587,2626.997,2700.778,2776.526,2852.962,2928.944,3003.5,3075.852,3145.451,3211.98,3275.331,3335.497,3391.966,3444.753,3495.063,3544.593,3594.501,3645.524,3697.183,3747.974,3795.721,3838.998,3877.052,3910.76,3942.28,3974.656,4009.998,4048.772,4090.009,4132.576,4174.737,4214.996,4252.952,4288.276,4319.579,4345.236,4363.95,4375.242,4378.913,4374.366,4361.061,4338.75,4307.683,4268.37,4221.29,4167.099,4106.736,4040.204,3968.812,3896.409,3827.906,3766.876,3714.961,3671.54,3635.059,3602.853,3572.885
"Romania",642,16310.998,16607.889,16856.828,17077.384,17284.001,17485.998,17687.296,17886.689,18078.643,18254.608,18407.002,18533.445,18640.463,18745.088,18870.34,19031.999,19237.491,19480.203,19744.551,20007.565,20252.54,20473.447,20674.98,20863.942,21051.489,21245.107,21447.2,21652.976,21854.285,22039.699,22201.389,22333.737,22439.782,22530.615,22622.239,22724.837,22845,22975.571,23096.515,23179.894,23206.719,23169.554,23077.6,22948.987,22810.195,22680.954,22567.385,22465.454,22372.555,22282.69,22191.683,22100.007,22010.781,21925.307,21845.264,21771.749,21705.175,21644.886,21589.544,21537.219,21486.371
"Russian Federation",643,102702.461,104248.118,105950.299,107743.349,109574.025,111401.5,113197.858,114947.6,116646.132,118297.268,119905.701,121468.992,122970.547,124376.611,125644.787,126749.106,127674.585,128441.372,129102.954,129734.24,130391.798,131095.45,131838.01,132616.141,133417.243,134232.512,135063.873,135919.205,136801.278,137713.118,138655.363,139619.492,140598.335,141593.874,142609.801,143642.108,144695.549,145748.948,146740.928,147591.465,148243.501,148673.813,148897.737,148945.559,148866.314,148698.582,148456.965,148139.274,147749.214,147286.725,146757.517,146161.742,145519.641,144880.469,144306.982,143843.159,143510.059,143294.533,143163.1,143064.078,142958.164
"Slovakia",703,3436.574,3494.399,3558.07,3625.562,3695.133,3765.317,3834.942,3903.115,3969.202,4032.799,4093.623,4151.408,4205.808,4256.354,4302.571,4344.322,4381.278,4414.055,4444.651,4475.755,4509.366,4546.043,4585.443,4627.506,4671.864,4718.093,4766.402,4816.543,4867.021,4915.864,4961.607,5003.672,5042.276,5077.753,5110.779,5141.88,5170.942,5197.804,5222.922,5246.884,5270.072,5292.792,5314.849,5335.519,5353.767,5368.894,5380.807,5389.895,5396.548,5401.35,5404.845,5407.045,5408.162,5409.182,5411.339,5415.496,5422.122,5430.974,5441.304,5451.968,5462.119
"Ukraine",804,37297.652,37847.653,38410.561,38977.44,39541.651,40098.857,40647.142,41186.89,41720.423,42251.401,42783.01,43316.039,43847.188,44368.35,44868.657,45340.503,45779.461,46187.918,46573.376,46947.038,47316.501,47685.533,48050.256,48401.549,48726.373,49015.998,49266.997,49484.239,49677.426,49860.466,50043.55,50227.328,50408.687,50589.152,50769.702,50949.364,51128.208,51301.215,51455.595,51574.638,51644.914,51666.114,51637.719,51546.666,51377.434,51121.722,50773.323,50342.838,49860.125,49366.106,48891.792,48448.267,48032.368,47643.278,47275.25,46923.927,46591.797,46282.158,45991.584,45715.01,45448.329
"Northern Europe",924,78034.769,78259.099,78539.25,78862.025,79217.732,79600.146,80006.781,80438.628,80899.54,81395.194,81929.907,82503.298,83107.314,83724.993,84334.022,84917.267,85467.284,85984.384,86468.825,86923.862,87351.645,87752.18,88122.775,88460.323,88760.99,89023.196,89247.091,89437.204,89602.101,89753.128,89899.883,90043.752,90186.85,90340.068,90516.387,90724.164,90969.887,91249.419,91547.133,91840.609,92113.709,92363.239,92594.584,92810.905,93018.223,93222.366,93423.557,93624.312,93836.016,94073.11,94346.615,94658.828,95008.979,95400.635,95836.852,96318.089,96847.438,97420.104,98018.569,98619.278,99204.832
"Channel Islands",830,102.235,102.94,103.614,104.267,104.912,105.559,106.226,106.926,107.679,108.498,109.396,110.381,111.448,112.582,113.765,114.974,116.2,117.437,118.676,119.91,121.126,122.338,123.534,124.649,125.599,126.335,126.821,127.101,127.299,127.585,128.085,128.828,129.777,130.905,132.156,133.482,134.898,136.394,137.856,139.136,140.137,140.804,141.179,141.384,141.594,141.934,142.448,143.102,143.847,144.607,145.33,145.995,146.626,147.262,147.963,148.763,149.682,150.689,151.705,152.618,153.352
"Denmark",208,4268.27,4308.125,4344.863,4378.663,4409.858,4438.935,4466.552,4493.517,4520.755,4549.237,4579.77,4612.789,4648.157,4685.089,4722.383,4759.095,4794.927,4829.945,4863.983,4896.948,4928.704,4959.083,4987.806,5014.503,5038.752,5060.227,5079.015,5095.133,5108.145,5117.514,5123.026,5124.545,5122.696,5118.998,5115.476,5113.701,5114.172,5116.854,5122.098,5130.127,5141.034,5155.038,5172.04,5191.37,5212.071,5233.364,5255.213,5277.572,5299.649,5320.488,5339.501,5356.055,5370.507,5384.487,5400.28,5419.444,5442.644,5469.13,5497.312,5524.874,5550.142
"Estonia",233,1100.998,1113.922,1126.28,1138.038,1149.241,1160.002,1170.514,1181.044,1191.912,1203.467,1216.003,1229.668,1244.386,1259.824,1275.487,1290.996,1306.197,1321.132,1335.846,1350.454,1365.002,1379.574,1394.029,1407.932,1420.709,1431.998,1441.551,1449.609,1456.892,1464.417,1472.898,1482.176,1491.897,1502.292,1513.617,1525.79,1539.549,1554.175,1566.396,1571.84,1567.631,1552.37,1527.66,1497.364,1467.016,1440.71,1419.727,1403.188,1390.414,1379.962,1370.749,1362.823,1356.644,1351.955,1348.449,1345.857,1344.038,1342.873,1342.145,1341.629,1341.14
"Faeroe Islands",234,31.504,31.304,31.249,31.335,31.551,31.879,32.299,32.786,33.307,33.833,34.334,34.793,35.21,35.597,35.985,36.391,36.82,37.262,37.707,38.139,38.547,38.928,39.288,39.641,40.008,40.403,40.829,41.281,41.757,42.258,42.779,43.305,43.831,44.364,44.92,45.497,46.133,46.802,47.37,47.659,47.558,46.995,46.05,44.953,44.022,43.483,43.416,43.746,44.358,45.07,45.743,46.358,46.944,47.472,47.915,48.258,48.475,48.572,48.597,48.625,48.708
"Finland",246,4009.003,4049.971,4095.096,4142.102,4189.185,4235.002,4278.702,4319.898,4358.612,4395.188,4430.001,4463.165,4494.265,4522.251,4545.748,4564.002,4576.277,4583.461,4588.404,4595.003,4605.998,4622.759,4644.371,4668.51,4691.674,4711.432,4726.845,4739.016,4750.001,4762.803,4779.488,4800.928,4826.163,4853.221,4879.235,4902.206,4921.232,4937.13,4951.685,4967.527,4986.441,5009.16,5034.766,5061.394,5086.368,5107.802,5125.177,5139.257,5151.024,5161.995,5173.37,5185.18,5197.305,5210.595,5226.067,5244.342,5265.936,5290.431,5316.334,5341.546,5364.546
"Iceland",352,142.998,145.288,148.044,151.148,154.496,158.002,161.597,165.227,168.853,172.45,175.998,179.476,182.853,186.092,189.148,192,194.608,196.994,199.273,201.606,204.101,206.821,209.722,212.673,215.485,218.031,220.26,222.238,224.096,226.025,228.16,230.543,233.131,235.861,238.641,241.398,244.124,246.837,249.526,252.179,254.793,257.359,259.881,262.386,264.909,267.478,270.119,272.836,275.608,278.403,281.21,283.992,286.783,289.724,293.004,296.743,301.01,305.721,310.666,315.543,320.136
"Ireland",372,2913.093,2920.75,2923.77,2921.444,2913.706,2901.135,2884.992,2867.181,2850.125,2836.551,2828.866,2828.481,2835.226,2847.099,2860.976,2874.711,2887.47,2900.35,2915.42,2935.643,2963.02,2997.907,3039.128,3085.214,3134.031,3183.759,3233.907,3284.081,3332.644,3377.699,3417.798,3452.589,3482.073,3505.714,3523.059,3534.103,3538.519,3537.244,3533.181,3530.188,3531.219,3537.626,3549.302,3565.952,3586.685,3610.958,3638.457,3669.86,3706.687,3750.945,3803.78,3865.82,3935.781,4010.506,4085.676,4158.042,4226.428,4291.258,4352.866,4412.181,4469.9
"Isle of Man",833,55.253,55.265,54.907,54.259,53.4,52.411,51.376,50.382,49.51,48.843,48.445,48.357,48.585,49.094,49.822,50.717,51.78,52.999,54.294,55.559,56.717,57.717,58.567,59.331,60.102,60.945,61.904,62.938,63.923,64.684,65.112,65.132,64.82,64.407,64.209,64.448,65.226,66.45,67.904,69.265,70.313,70.963,71.305,71.484,71.724,72.183,72.908,73.832,74.87,75.892,76.803,77.577,78.246,78.84,79.41,79.994,80.598,81.203,81.798,82.358,82.869
"Latvia",428,1949,1954.91,1965.231,1979.138,1995.922,2014.992,2035.877,2058.224,2081.785,2106.392,2131.89,2158.063,2184.569,2210.916,2236.535,2261.016,2284.026,2305.578,2326.027,2345.942,2365.705,2385.524,2405.177,2424.107,2441.537,2456.971,2470.206,2481.606,2491.929,2502.245,2513.349,2524.804,2536.323,2548.94,2563.992,2582.011,2604.319,2629.552,2652.332,2665.405,2663.905,2645.539,2612.722,2571.11,2528.893,2492.095,2462.617,2438.994,2419.819,2402.452,2384.972,2367.302,2350.34,2334.225,2319.229,2305.528,2293.08,2281.693,2271.198,2261.38,2252.06
"Lithuania",440,2567.402,2569.619,2578.052,2591.358,2608.493,2628.706,2651.564,2676.93,2704.918,2735.814,2769.849,2806.938,2846.474,2887.227,2927.61,2966.462,3003.168,3037.887,3071.192,3104.044,3137.113,3170.575,3204.064,3237.07,3268.867,3298.964,3327.193,3353.83,3379.395,3404.63,3430.089,3455.403,3480.356,3505.769,3532.724,3561.668,3593.334,3626.602,3657.818,3682.059,3695.89,3698.095,3689.943,3673.606,3652.438,3629.104,3604.044,3577.128,3549.816,3523.732,3500.028,3479.622,3462.402,3447.17,3432.06,3415.748,3397.895,3379.043,3359.799,3341.097,3323.611
"Norway",578,3265,3299.431,3332.263,3364.169,3395.643,3427,3458.366,3489.693,3520.775,3551.305,3580.998,3609.745,3637.73,3665.487,3693.75,3723.001,3753.376,3784.577,3816.102,3847.232,3877.383,3906.49,3934.529,3961.021,3985.401,4007.312,4026.586,4043.44,4058.407,4072.258,4085.621,4098.699,4111.566,4124.588,4138.15,4152.56,4168.003,4184.566,4202.325,4221.299,4241.485,4262.932,4285.62,4309.369,4333.931,4359.096,4385.139,4412.092,4439.248,4465.664,4490.859,4513.953,4535.599,4558.66,4587.046,4623.298,4668.802,4722.016,4778.959,4834.002,4883.111
"Sweden",752,7014.001,7076.003,7129.07,7176.203,7219.871,7261.994,7303.942,7346.541,7390.134,7434.674,7480.001,7526.139,7573.556,7623.278,7676.568,7734.003,7796.427,7862.718,7929.066,7990.318,8042.839,8084.965,8117.863,8144.217,8168.135,8192.569,8218.933,8246.302,8272.581,8294.604,8310.467,8319.266,8322.909,8325.682,8333.446,8350.392,8377.422,8413.155,8456.561,8505.752,8558.829,8616.729,8678.657,8738.894,8789.976,8826.949,8847.421,8853.934,8852.65,8852.487,8860.153,8877.022,8901.831,8935.392,8977.965,9029.345,9090.707,9161.374,9236.872,9311.11,9379.687
"United Kingdom",826,50616.012,50631.571,50706.811,50829.901,50991.454,51184.529,51404.774,51650.279,51921.175,52218.942,52544.356,52895.303,53264.855,53640.457,54006.245,54349.899,54666.008,54954.044,55212.835,55443.064,55645.39,55819.499,55964.697,56081.455,56170.69,56234.25,56273.041,56290.629,56295.032,56296.406,56303.011,56317.534,56341.308,56379.327,56436.762,56516.908,56622.956,56753.658,56902.081,57058.173,57214.474,57369.629,57525.459,57681.639,57838.596,57997.21,58156.871,58318.771,58488.026,58671.413,58874.117,59097.129,59339.971,59604.347,59891.788,60202.727,60538.143,60896.101,61270.318,61652.315,62035.57
"Southern Europe",925,108332.031,109285.064,110250.229,111205.032,112135.003,113033.686,113903.086,114753.212,115600.777,116466.95,117370.747,118321.908,119314.733,120325.392,121319.482,122274.143,123177.381,124042.094,124900.282,125797.324,126764.457,127807.917,128912.284,130059.837,131223.78,132380.86,133528.409,134661.344,135750.751,136761.324,137667.947,138458.388,139138.121,139722.687,140237.181,140701.531,141121.322,141495.586,141830.71,142132.768,142407.991,142669.543,142925.72,143172.741,143402.709,143615.691,143802.236,143981.381,144215.181,144585.367,145146.785,145919.327,146875.288,147961.495,149099.979,150228.346,151333.19,152414.048,153436.803,154364.46,155171.088
"Albania",8,1215.002,1239.971,1269.302,1302.536,1339.24,1378.998,1421.417,1466.124,1512.765,1561.012,1610.565,1661.158,1712.563,1764.593,1817.098,1869.942,1922.993,1976.14,2029.314,2082.474,2135.599,2188.65,2241.623,2294.578,2347.607,2400.801,2454.255,2508.026,2562.121,2616.53,2671.3,2725.029,2777.592,2831.682,2891.004,2957.39,3033.393,3116.009,3194.854,3255.859,3289.483,3291.695,3266.983,3224.901,3179.442,3141.102,3112.597,3091.902,3079.037,3072.725,3071.856,3077.378,3089.778,3106.701,3124.861,3141.8,3156.607,3169.665,3181.397,3192.723,3204.284
"Andorra",20,6.197,6.692,7.247,7.856,8.514,9.217,9.964,10.754,11.585,12.46,13.377,14.337,15.337,16.373,17.438,18.529,19.64,20.772,21.931,23.127,24.364,25.656,26.997,28.357,29.688,30.967,32.156,33.279,34.432,35.753,37.328,39.226,41.39,43.636,45.702,47.414,48.653,49.504,50.236,51.241,52.773,54.996,57.767,60.67,63.111,64.699,65.227,64.905,64.246,63.985,64.634,66.39,69.043,72.203,75.292,77.888,79.874,81.39,82.577,83.677,84.864
"Bosnia and Herzegovina",70,2661.293,2720.515,2779.107,2836.208,2891.241,2943.905,2994.194,3042.383,3088.98,3134.654,3180.02,3225.391,3270.585,3314.827,3357.005,3396.402,3432.671,3466.307,3498.47,3530.78,3564.389,3599.885,3636.93,3674.638,3711.662,3747.109,3780.559,3812.557,3844.329,3877.598,3913.536,3949.509,3984.259,4021.59,4066.739,4121.595,4194.37,4279.632,4349.682,4367.069,4308.197,4157.485,3931.372,3677.379,3462.032,3332.098,3305.672,3365.616,3480.285,3601.438,3693.698,3748.37,3775.883,3782.717,3781.358,3781.001,3781.588,3779.034,3774.164,3767.683,3760.149
"Croatia",191,3850.295,3875.666,3900.723,3924.56,3946.581,3966.497,3984.346,4000.475,4015.489,4030.174,4045.251,4061.112,4077.596,4093.89,4108.808,4121.599,4131.926,4140.383,4148.285,4157.459,4169.217,4183.96,4201.302,4220.795,4241.669,4263.294,4285.523,4308.344,4331.398,4354.275,4376.608,4398.61,4420.169,4440.263,4457.579,4471.404,4480.137,4484.45,4488.56,4498.278,4517.2,4548.076,4588.173,4628.968,4658.613,4669.001,4656.706,4625.39,4582.742,4540.042,4505.533,4481.62,4466.013,4456.587,4449.522,4441.986,4433.791,4425.995,4418.387,4410.864,4403.33
"Gibraltar",292,20.497,20.641,20.769,20.874,20.955,21.015,21.065,21.118,21.198,21.325,21.518,21.786,22.122,22.501,22.885,23.248,23.582,23.894,24.178,24.431,24.654,24.838,24.985,25.117,25.262,25.44,25.663,25.92,26.182,26.406,26.565,26.648,26.667,26.647,26.619,26.608,26.62,26.65,26.697,26.757,26.83,26.921,27.032,27.145,27.233,27.283,27.279,27.231,27.188,27.214,27.348,27.615,27.989,28.41,28.793,29.075,29.237,29.296,29.287,29.257,29.244
"Greece",300,7566.002,7646.718,7725.959,7805.207,7885.213,7965.998,8046.802,8126.135,8201.917,8271.724,8333.499,8386.326,8431.099,8470.808,8509.724,8551.005,8596.595,8646.013,8697.173,8746.781,8793.002,8833.582,8870.711,8912.166,8968.522,9046.544,9149.987,9274.357,9408.034,9534.673,9642.504,9728.22,9795.461,9848.045,9892.518,9934.292,9972.624,10007.304,10045.02,10094.241,10160.501,10247.132,10351.229,10464.295,10574.134,10671.809,10754.641,10824.894,10884.604,10937.612,10986.883,11032.395,11073.334,11111.072,11147.261,11183.114,11219.3,11255.717,11291.807,11326.596,11359.346
"Holy See",336,0.905,0.887,0.884,0.889,0.897,0.905,0.91,0.912,0.911,0.908,0.906,0.904,0.901,0.896,0.881,0.855,0.817,0.767,0.715,0.672,0.648,0.644,0.66,0.685,0.711,0.729,0.737,0.737,0.733,0.728,0.726,0.728,0.731,0.736,0.742,0.747,0.752,0.757,0.762,0.766,0.77,0.772,0.773,0.774,0.776,0.781,0.791,0.804,0.814,0.809,0.787,0.742,0.678,0.607,0.541,0.492,0.462,0.45,0.45,0.455,0.458
"Italy",380,46366.767,46786.118,47171.699,47522.671,47841.004,48131.479,48401.893,48662.851,48927.14,49208.667,49519.312,49865.553,50245.528,50647.763,51054.762,51453.513,51839.323,52215.095,52584.254,52952.971,53324.772,53700.117,54074.032,54438.147,54781.374,55095.516,55377.233,55627.789,55849.349,56046.086,56221.171,56376.115,56510.204,56622.072,56709.575,56772.141,56808.914,56823.401,56824.7,56824.792,56832.33,56856.059,56895.154,56937.52,56965.197,56968.039,56938.342,56888.3,56851.522,56873.677,56986.329,57199.219,57498.867,57864.332,58263.782,58671.206,59082.1,59495.243,59891.479,60248.654,60550.848
"Malta",470,311.997,312.918,313.514,313.903,314.164,314.341,314.436,314.412,314.204,313.725,312.905,311.724,310.249,308.639,307.119,305.851,304.939,304.369,304.047,303.822,303.607,303.338,303.123,303.243,304.083,305.898,308.788,312.621,317.13,321.925,326.709,331.406,336.046,340.572,344.944,349.135,353.069,356.736,360.256,363.812,367.524,371.455,375.533,379.574,383.314,386.576,389.277,391.499,393.429,395.339,397.42,399.746,402.244,404.787,407.183,409.295,411.084,412.608,413.946,415.22,416.515
"Montenegro",499,398.539,401.735,407.165,413.925,421.324,428.881,436.342,443.661,450.979,458.567,466.674,475.371,484.408,493.148,500.745,506.646,510.527,512.701,514.031,515.746,518.727,523.214,528.905,535.454,542.304,548.999,555.632,562.247,568.285,573.036,576.069,577.041,576.292,574.92,574.459,575.997,579.821,585.546,592.74,600.697,608.816,617.144,625.63,633.443,639.542,643.227,644.121,642.533,639.309,635.689,632.606,630.299,628.594,627.5,626.912,626.739,627.074,627.962,629.185,630.435,631.49
"Portugal",620,8416.969,8432.07,8475.34,8534.73,8600.563,8665.53,8724.773,8775.803,8818.242,8853.393,8882.954,8907.64,8925.989,8933.839,8925.792,8899.506,8851.326,8786.529,8722.574,8682.998,8684.237,8732.165,8820.645,8939.024,9070.905,9203.339,9333.952,9463.583,9586.166,9695.175,9785.924,9855.958,9905.701,9937.389,9955.005,9962.255,9958.747,9945.601,9930.001,9921.12,9925.477,9946.333,9982.069,10028.171,10077.548,10124.943,10169.044,10211.281,10252.334,10293.668,10336.209,10379.756,10423.256,10465.808,10506.253,10543.663,10577.63,10608.036,10634.612,10657.175,10675.572
"San Marino",674,12.781,12.919,13.089,13.288,13.515,13.767,14.044,14.344,14.67,15.019,15.392,15.786,16.196,16.615,17.032,17.439,17.838,18.227,18.588,18.895,19.136,19.299,19.395,19.465,19.565,19.734,19.988,20.313,20.683,21.054,21.398,21.707,21.99,22.255,22.515,22.776,23.041,23.304,23.571,23.847,24.134,24.442,24.769,25.098,25.406,25.678,25.897,26.077,26.271,26.551,26.967,27.543,28.251,29.013,29.722,30.301,30.721,31.007,31.198,31.359,31.534
"Serbia",688,6732.256,6839.783,6942.216,7039.281,7130.885,7217.12,7298.269,7374.796,7447.327,7516.595,7583.324,7648.077,7711.142,7772.481,7831.873,7889.351,7944.927,7999.327,8054.147,8111.427,8172.645,8238.178,8307.669,8380.884,8457.297,8536.301,8618.095,8702.227,8786.614,8868.545,8946.077,9019.281,9088.833,9154.306,9215.339,9272.302,9322.048,9365.835,9413.538,9478.469,9568.744,9689.735,9834.717,9984.888,10114.158,10203.932,10248.363,10253.548,10227.702,10184.152,10133.561,10076.784,10013.058,9949.713,9895.409,9856.152,9835.841,9832.994,9841.36,9851.44,9856.222
"Slovenia",705,1473.094,1485.208,1497.673,1509.949,1521.658,1532.598,1542.741,1552.231,1561.352,1570.492,1580.01,1590.097,1600.656,1611.254,1621.265,1630.299,1638.169,1645.201,1652.157,1660.081,1669.731,1681.246,1694.389,1709.055,1725.015,1742.004,1760.125,1779.184,1798.248,1816.102,1831.881,1845.186,1856.261,1865.704,1874.446,1883.179,1892.015,1900.766,1909.475,1918.131,1926.701,1935.302,1943.919,1952.22,1959.752,1966.205,1971.488,1975.755,1979.261,1982.378,1985.406,1988.385,1991.319,1994.426,1997.959,2002.084,2006.903,2012.345,2018.172,2024.04,2029.68
"Spain",724,28069.737,28236.442,28427.994,28637.153,28858.741,29089.637,29328.89,29577.608,29838.623,30115.936,30413.044,30731.163,31067.664,31415.41,31764.645,32108.561,32443.113,32770.565,33098.047,33436.107,33791.761,34165.661,34553.119,34949.102,35346.395,35738.587,36124.485,36501.995,36862.658,37196.233,37495.321,37757.496,37984.198,38177.151,38339.878,38476.148,38586.351,38673.057,38745.231,38814.28,38889.158,38979.222,39086.335,39203.352,39318.577,39426.834,39519.508,39608.652,39734.033,39948.91,40288.457,40767.01,41364.726,42039.8,42732.092,43395.441,44017.887,44604.384,45146.258,45638.113,46076.989
"TFYR Macedonia",807,1229.7,1266.781,1297.548,1322.002,1340.508,1353.798,1363,1369.605,1375.395,1382.299,1391.996,1405.483,1422.698,1442.355,1462.41,1481.397,1498.995,1515.804,1532.371,1549.553,1567.968,1587.484,1607.799,1629.127,1651.721,1675.598,1701.231,1728.165,1754.389,1777.205,1794.83,1806.228,1812.327,1815.719,1820.117,1828.148,1840.767,1857.034,1875.387,1893.409,1909.353,1922.774,1934.265,1944.343,1953.874,1963.484,1973.283,1982.994,1992.404,2001.178,2009.091,2016.075,2022.255,2027.819,2033.039,2038.109,2043.091,2047.922,2052.524,2056.769,2060.563
"Western Europe",926,140797.634,141554.34,142452.979,143442.077,144485.571,145562.811,146669.475,147816.653,149028.11,150335.698,151765.608,153323.734,154982.843,156677.076,158317.527,159838.021,161211.309,162446.755,163560.009,164582.164,165535.427,166425.28,167240.358,167967.809,168589.3,169095.327,169487.762,169783.587,170008.008,170194.367,170371.884,170549.011,170735.988,170965.716,171276.724,171696.789,172231.73,172875.906,173628.672,174484.67,175432.45,176485.112,177625.018,178772.431,179822.123,180701.783,181372.834,181862.722,182246.778,182636.414,183111.421,183694.189,184356.4,185065.794,185770.437,186431.267,187044.561,187620.805,188151.762,188629.977,189051.795
"Austria",40,6936.445,6930.746,6929.474,6931.618,6936.58,6944.174,6954.658,6968.701,6987.299,7011.632,7042.634,7080.528,7124.432,7172.179,7220.812,7268.015,7312.775,7355.039,7394.601,7431.574,7465.908,7497.731,7526.469,7550.638,7568.347,7578.498,7580.564,7575.669,7566.45,7556.551,7548.798,7544.359,7543.194,7545.472,7550.96,7559.621,7570.906,7585.345,7605.095,7632.984,7670.513,7719.577,7778.255,7839.625,7894.229,7935.624,7960.464,7971.553,7976.117,7984.694,8004.712,8038.48,8083.059,8134.235,8185.553,8232.196,8273.208,8309.783,8341.806,8369.639,8393.644
"Belgium",56,8628.489,8665.736,8710.135,8759.521,8812.159,8866.744,8922.42,8978.76,9035.709,9093.483,9152.271,9211.92,9271.655,9329.967,9384.939,9435.244,9479.97,9519.5,9555.402,9590.007,9624.908,9660.688,9696.539,9730.978,9761.867,9787.677,9808.403,9824.685,9836.487,9843.898,9847.297,9846.32,9841.8,9836.784,9835.279,9840.123,9852.488,9871.551,9895.654,9922.158,9949.019,9976.325,10004.469,10032.084,10057.529,10079.873,10098.192,10113.392,10128.653,10148.371,10175.684,10211.264,10254.025,10303.108,10356.993,10414.209,10474.993,10538.758,10602.167,10660.938,10712.066
